t_sec,x,y,z,yaw,pitch,roll
0.0010008811950683594,-0.49041298031806946,-0.9119548797607422,-2.635406255722046,179.81143981950473,170.02237987501007,-89.56233102397901
0.008384227752685547,-0.49035072326660156,-0.9120012521743774,-2.635403871536255,179.806501177499,170.01867492908764,-89.56654473908604
0.024479389190673828,-0.49029630422592163,-0.9119048118591309,-2.6352336406707764,179.81064511603307,170.0146235171767,-89.56755046833624
0.04051661491394043,-0.4902716875076294,-0.9118891358375549,-2.6352522373199463,179.81150990591385,170.01459181373124,-89.56792810421756
0.055715084075927734,-0.4903089106082916,-0.9118950963020325,-2.635178565979004,179.8210084307092,170.01317131733916,-89.57249566939849
0.07138943672180176,-0.49025315046310425,-0.9118509888648987,-2.6348626613616943,179.82112074879893,170.0137650611188,-89.57856271860821
0.08847260475158691,-0.4902309775352478,-0.9118621945381165,-2.634770393371582,179.82260978324084,170.00999235181914,-89.58275232960833
0.1030724048614502,-0.490199476480484,-0.9118543863296509,-2.6345596313476562,179.82174248277207,170.00977671598096,-89.58601091537952
0.11840081214904785,-0.49018311500549316,-0.9118553996086121,-2.634533643722534,179.82463786701751,170.01127815943198,-89.58502486506413
0.13502168655395508,-0.490227609872818,-0.9119080305099487,-2.6345160007476807,179.82992316691,170.0097011368046,-89.5851619384619
0.15047788619995117,-0.49019855260849,-0.9119291305541992,-2.63439679145813,179.82912970741563,170.0094720477245,-89.58635713562593
0.16636300086975098,-0.49020567536354065,-0.9119225144386292,-2.6343700885772705,179.83361793283825,170.01008725172022,-89.58823058620692
0.18109869956970215,-0.4901885986328125,-0.9119046926498413,-2.634315013885498,179.83879285659722,170.0122526660577,-89.59132835348976
0.19779658317565918,-0.4901790916919708,-0.9119025468826294,-2.634277582168579,179.838100557672,170.00994614463366,-89.58799163838505
0.2123551368713379,-0.49012625217437744,-0.9118617177009583,-2.6342785358428955,179.8328876358866,170.00856453973043,-89.583811185256
0.22880887985229492,-0.49010008573532104,-0.9117611050605774,-2.6340315341949463,179.83319299423113,170.0106461769235,-89.5882428494363
0.24408292770385742,-0.49016448855400085,-0.9117568731307983,-2.6341583728790283,179.83978858564006,170.0118175346308,-89.58689395456011
0.27081775665283203,-0.49020326137542725,-0.911730945110321,-2.6342709064483643,179.83893345862174,170.0154777217178,-89.58457618781055
0.27534937858581543,-0.49020424485206604,-0.9117178916931152,-2.6342549324035645,179.83921452247958,170.01570369590783,-89.58620971229614
0.291424036026001,-0.4902079999446869,-0.9116025567054749,-2.6340537071228027,179.84116301549685,170.01219405593798,-89.58912302923838
0.30701732635498047,-0.4901907444000244,-0.9115172028541565,-2.633880615234375,179.84099442040574,170.01027187219233,-89.59177549828557
0.32320308685302734,-0.49015992879867554,-0.9114780426025391,-2.633732557296753,179.84149157341815,170.01092204675783,-89.5924633241739
0.33737778663635254,-0.4901673495769501,-0.9114416837692261,-2.633681535720825,179.84361826922276,170.00893536740804,-89.59806544202999
0.35318708419799805,-0.49011242389678955,-0.9114372134208679,-2.633561611175537,179.8425578606997,170.01156356447666,-89.59607399357603
0.3692786693572998,-0.49006974697113037,-0.9114664793014526,-2.633659839630127,179.84691907102192,170.01224865236617,-89.59513438692639
0.3855760097503662,-0.49031394720077515,-0.9115428328514099,-2.6342482566833496,179.83253037719,170.0288080943434,-89.58125126377855
0.4013214111328125,-0.4902469217777252,-0.9116742610931396,-2.6342437267303467,179.83051955124398,170.02486263555238,-89.58116295190169
0.4181535243988037,-0.4902467131614685,-0.9116606116294861,-2.634204864501953,179.83001817994366,170.0213046275379,-89.58474416217878
0.43314051628112793,-0.4901786148548126,-0.9117807149887085,-2.6342294216156006,179.8321592986417,170.02483656855728,-89.58188712630827
0.4487488269805908,-0.4901433289051056,-0.9118540287017822,-2.6342504024505615,179.83158417533662,170.0232099947209,-89.58316266326501
0.46520519256591797,-0.49007976055145264,-0.9118388891220093,-2.6340150833129883,179.8284877691858,170.01935098828918,-89.5885695672731
0.47978758811950684,-0.49004891514778137,-0.9118589162826538,-2.6339666843414307,179.82717195268737,170.0219769140412,-89.58740015239796
0.49570512771606445,-0.49009835720062256,-0.9118419289588928,-2.633932113647461,179.83537682936708,170.02207650984204,-89.58801306610724
0.5104131698608398,-0.490141361951828,-0.9117652177810669,-2.633867025375366,179.84293928133383,170.02084875542153,-89.58875615640304
0.5255019664764404,-0.490153044462204,-0.9116815328598022,-2.6336920261383057,179.84525716625836,170.0191616406807,-89.58882951284076
0.5404889583587646,-0.4901502728462219,-0.9116643667221069,-2.633638381958008,179.84219042621535,170.01739461154216,-89.58851411658911
0.5566933155059814,-0.490071177482605,-0.9116170406341553,-2.6336939334869385,179.84279376667868,170.0160791271678,-89.58599878003893
0.5723497867584229,-0.49004706740379333,-0.9115369319915771,-2.6337759494781494,179.8462173247372,170.01760049960197,-89.58459515700346
0.5874969959259033,-0.4903968572616577,-0.9114988446235657,-2.634455680847168,179.8344852307478,170.02918797734822,-89.57315654007773
0.6032640933990479,-0.49026843905448914,-0.9115554690361023,-2.634462594985962,179.82746748258498,170.02675975042888,-89.57159582956956
0.6186952590942383,-0.49026012420654297,-0.9115096926689148,-2.634464740753174,179.8304947671554,170.0288175935794,-89.57456114481312
0.6345851421356201,-0.4901263415813446,-0.9115961790084839,-2.6344892978668213,179.82763907988812,170.02659861586127,-89.57328285844414
0.6493716239929199,-0.4901280701160431,-0.9116516709327698,-2.634521245956421,179.8337250799777,170.02778990109522,-89.57717363951484
0.6653580665588379,-0.4901418387889862,-0.9116918444633484,-2.6343939304351807,179.8383823987921,170.022706254646,-89.5808565998371
0.6807262897491455,-0.490125834941864,-0.9116911888122559,-2.6343908309936523,179.83628283093472,170.02169360530252,-89.58246414536205
0.6962969303131104,-0.49016571044921875,-0.9116976857185364,-2.6342806816101074,179.8425995531155,170.0185461901805,-89.58393293946506
0.7114171981811523,-0.490143746137619,-0.9117207527160645,-2.634085178375244,179.8461096959706,170.01613817560556,-89.5863791962528
0.7274703979492188,-0.49038103222846985,-0.9117336273193359,-2.634544610977173,179.8325034663023,170.02958206317334,-89.5710469267799
0.7432205677032471,-0.4902321994304657,-0.9117957353591919,-2.634498357772827,179.82473439132073,170.02836125524456,-89.56842032797624
0.7585480213165283,-0.4902307987213135,-0.9118002653121948,-2.63450288772583,179.82546688247606,170.02787448792193,-89.56741416318613
0.7746646404266357,-0.49017390608787537,-0.9118612408638,-2.634399890899658,179.82711323280355,170.02381625814704,-89.5683348688115
0.7892813682556152,-0.49010366201400757,-0.9118804335594177,-2.6342358589172363,179.82322053684055,170.01824867624273,-89.57499581348718
0.805117130279541,-0.49008554220199585,-0.9118695259094238,-2.634098768234253,179.82394354204465,170.01367138400732,-89.57597324206772
0.8204548358917236,-0.49017253518104553,-0.911941647529602,-2.6342055797576904,179.82882523708776,170.01245901523993,-89.57299395533538
